sentence,label
فقط اگر به جای دمپایی‌های روفرشی پلاستیکی از دمپایی یک بار مصرف پارچه‌ای استفاده شود بهداشتی‌تر است.,1
بهتر بود از کابین دوش استفاده بشه.,1
در اتاق فوق العاده نازک و مسخره بود.,0
نادر فرجوندی نمره متوسط را برای هتل آپارتمان باروژ رامسر انتخاب کرده است,0
صبحانه با نان بربری سرد وتکراری و غیر انتخابی بود.,0
در کل هتل سه ستاره هستش و انتظار زیادی نباید داشته باشی.,1
به نظرم نسبت به هتل سه ستاره خیلی بهتر بود.,0
هتل به مرز ارس نزدیک است و باید مراقب هزینه‌های رومینگ موبایل باشید.,1
اگه وسواس دارید، ملحفه و حوله با خودتون ببرید.,1
با توجه به امکانات موجود در شهر دارای امکانات و پذیرش مناسبی می‌باشد.,0
هتل زیبا و لابی مجللی داشت.,0
دیوار‌ها کثیف و رنگ‌ها ریخته - حداقل امکانات مورد انتظار یک هتل پنج سه تاره که چه عرض کنم ۳ ستاره هم در اتاق‌ها نبود.,0
حجم برنج رستوران با وجود گرانی بسیار کم!!.,0
به نظر من عالی بود ‌و ممنون بابت پیشنهاد,1
در کل به نسبت قیمتش خیلی میارزید!,0
به مدیریت هتل پیشنهاد میکنم، برای محوطه داخل هتل، حتما از سرعت گیر استفاده نماید.,1
بسیار پرسنل خوش برخورد مخصوصا آقای جابری رسپشن خیلی خوش اخلاق بود.,0
همه چی واقعا عالی بود، تمیزی اتاق، برخورد پرسنل.,0
توصیه میکنم به هیچ عنوان انتخاب نکنید.,1
دسترسی به مکانهای دیدنی خیلی خوبه و نزدیک به محله فهادان هست,0
صبحانه در حد سه ستاره.,0
مسواک و خمیردندان نبود.,0
سلام من یک بار استفاده کردم و راضی بودم,0
هتل در حد متوسط,0
یه بطری آب هم توی یخچال نبود و جداگانه باید بخرین.,1
اى کاش توى این همه توضیحات نوشته بودید که هتل و تالار جشن و عروسى هست نه ظهر گذاشتن بخوابیم نه شب تا ساعت ١ و ٢ واقعا متاسفم براشون که این همه ستاره داره هتل شون ولى عروسى هاشون مهم تره تا مسافر داخل هتل که خواب و ارامش نداره,1
موقعیت مکانی و برخورد کارکنان منوی صبحانه خوب بود فضای پارکینگ نیاز به محوطه سازی دارد,1
برای آن نوع سفرهای کاری که اقامت فقط به معنی استراحت و خواب باشد، مناسب است,1
برخورد کارکنان بسیار عالی محیط آرام با منظره عالی,0
نظافت و تمیزی هتل و اتاقها عالی بود.,0
فقط بخش خانه دار کم تجربه هستند و به آموزش بیشتری نیاز دارند.,1
تمامی امکانات هتل غیر فعال بود و فقط میتونید در وقت‌های خالی توی محوطه قدم بزنید.,1
اتاق‌ها هم بزرگ هستند و پر نور.,0
متاسفانه هتل مناسبی نبود و نظافت آن بسیار بد بود تمام هتل در حال تعمیر بود و از بوی رنگ تا صبح سردرد داشتم میز صبحانه کثیف و چایی جوشیده سرو میشد در مورد قیمت هم من از اسنپتریپ ۱۰۴ هزار تومان پرداخت کردم که خود هتل با هزینه ۹۰ هزارتومان مسافر پذیرش میکرد مکان هتل هم در بدترین جای شهر یعنی ترمینال قدیم واقع شده بود,0
خوب بود نسبت به قیمت,0
نظافت خیلی خوب ۶ صبحانه تنوعی نداشت۷.,0
هتل در یک موقعیت عالی و فضایی پر از آرامش، پرسنل از نگهبانی تا مهمانداران همگی آشنا به وظایف و مودبانه برخورد می‌کنند.,0
من در کنار قهوه وابجوش سوسک ریز مشاهده کردم.,0
هتل از نظر تمیزی خوب بود برخورد کارکنان ضعیف بود و از نظر صبحانه هم رسیدگی خوبی نداشت,0
متاسفانه تنها اشکال مهم عدم عایق سازی اتاق‌ها و درب هاس.,0
اما در کل هتل خوبی هست و پیشنهاد میشود.,1
برای افرادی که بچه دارند مناسب نیست اتاق‌ها کوچکند و کثیف.,1
لاندری هتل لباس داده به لابی، لابی من میگه بیا پایین بگیر، هنگام ورود هم نه کسی برای پارکینگ و جای پاک راهنمایی کرد و نه کسی لوازمم رو تا اتاق آورد.,0
نسبت به هتل هما ۲ بسیار بهتر است و توصیه می‌شود.,1
در کل هتل خوبی بود و اگر کسی در محلات بخواد اقامت کنه بهش این هتل پیشنهاد میکنم,1
متاسفانه برخورد رزپشن حرفه‌ای ودر حد هتل‌های برند دار نبود.,0
رفتار کارکنان خیلی عالی,0
دریاچه مصنوعی پشت هتل باعث تجمع پشه هست که در صورت بازکردن درب بالکن اذیت کننده هست,1
با تجربه‌ی سفر به بیش از ۴۰ کشور دنیا به تمام مسافرانی که قصد سفر به شمال ایران را دارند توصیه میکنم برنامه هایتان را بر اساس اقامت در این هتل تنظیم کنید.,1
کیفیت متوسط غذا جا دارد بهتر شود,1
ولی باتوجه به بافت قدیمی مکان هتل قابل تامل بود,0
از نظر خدمات هم صبحانه افتضاحی داشت که ما نتونستیم ازش استفاده کنیم‌.,0
"به نظرم بهترین راه برای استفاده از هتلها و اقامتگاه ها, رزرو ارزان و با تخفیف ایران هتل هستش و از همه جالب‌تر پشتیبانی و پیگیری مداوم مسولان iranhotel بود که شما رو تنها رها نمیکنند و تا آخرین لحظه خروج از هتل مواظب هستند تا امورات به درستی و در مجرای صحیح انجام بگیره برای همه این عزیزان آرزوی موفقیت دارم",1
خیلی تمیز، غذاهای خیلی خوشمزه و فضایی که بوجود آورده بودند که مهمانها راحت با هم صمیمی میشدند و چیزی شبیه به یک مهمونی خوب بود.,0
در هر حال انتظار رسیدگی و سرویس مناسب نداشته باشید,1
و در ضمن از هتل تا آسیابهای آبی میتونید پنج تا ده دقیقه پیاده روی کنید …..,1
هتل استقلال دو قسمت جدید و قدیمى دارد اتاق هاى قسمت قدیمى در حد هتل ٣ ستاره است و ارزش هزینه‌ای که پرداخت میکنید را ندارد اما قسمت جدید بهتر است,1
اقامت در این مکان فقط به افراد ماجراجو و علاقمند به معماری و هنر کهن ایران زمین توصیه میشود و برای خانواده‌ها به منظور تفریح توصیه نمیشود.,1
استفاده ازرستوران وکافی شاپ روهم بهتون توصیه اکید میکنم که کارشون بیسته، بهترین پیتزای عمرم رو اینجا خوردم.,1
بطوری که اکر قصد دیدن جاهای تفریحی را نداشته باشید و فقط قصد استراحت داشته باشید به راحتی می‌توانید از امکانات هتل مانند امکانات ورزشی و تفریحی و رستوران‌های متنوع آن استفاده کرده و از هتل خارج نشوید.,1
البته ظاهرا اتاق‌های اکونومی در طبقات پایین قرار دارن و منظره‌ی خاصی هم ندارن.,0
شاید این ششمین دفعه اقامت من در این هتل طی سالهای اخیر بود و طبیعی است که نقاط قوت و ضعف را می‌توانم در طی این مدت بهتر ارائه کنم.,0
مخصوصا نزدیکیش به حرم.,0
پایین بودن کیفیت غذای هتل.,0
-نزدیکی به ساحل.,0
حتی خانم‌ها نیز تنها می‌توانند شب‌ها اطراف هتل و مراکز خرید قدم بزنند.,1
در این مکان خود را در خانه حس خواهید کرد و خانواده بسیار مهربان و دوست داشتنی عاشقی هرآنچه بتوانند انجام می‌دهند تا شما در آسایش باشید.,1
من وهمسر ودوفرزندم در تاریخ دوم فروردین از سوئیت سه تخته هتل بهار استفاده کردیم.,0
هتل پتانسیل‌های بالایی دارد که بالقوه هست و می‌تواند بالفعل شود.,1
در کل هتل مناسبی هست ولی نباید انتظار یه هتل لوکس رو داشته باشید ولی در حد خودش خوبه و خلوت بود خیلی,1
ظرفیت پارکینگ کم است و سر پوشیده نیست!!,0
نقاط ضعف: دوری از مرکر شهر ارزش پایین در مقابل قیمت نمای مخروبه و اتاقهای کوچک امکانات پایین و سروصدای زیاد تمیز نبودن اتاق سیستم سرمایشی ضعیف این مکان رو با توجه به قیمتش حتی برای یک شب هم پیشنهاد نمیکنم.,1
بدترین هتلی هستش که می‌تونید انتخاب کنید.,1
فکر می‌کنم اکثر کسانی که یک هتل را برای اقامت در نظر می‌گیرند، به دنبال آرامش و آسودگی در مدت اقامت شان هستند.,1
امکاناتش کم بود و انتظارم بیشتر بود.,0
اتاق‌ها تمیزه به عنوان یک مهمانپذیر خوب میتونید استفاده کنید.,1
در روزهای شلوغ فضای سرو صبحانه کوچکه و ممکنه معطل تخلیه میزها بشید.,1
بسیار قدیمی بود.,0
برای رفتن به ساحل مرجان با مینی بوس‌های ون، باید پیاده تا بازار پردیس ۱ رفت.,1
سرویس بهداشتی ایرانی جز مشخصات اتاق در سایت قید شده بود اما در اتاق نبود و باید هربار به طبقه همکف مراجعه میشد.,0
ما هم مجبور شدیم بریم..,0
برخورد قسمت پذیرش هم در حد یک هتل چهارستاره نبود!,0
اگه غذاشون بهتر بشه دیگه حرف نداره.,1
تمیز و مرتب- صبحانه با توجه به استفاده از تولیدات محلی مانند پنیر کوزه‌ای شیره و عسل بسیار عالی بود.,0
سشوار رو بابد میگفتین تا برات بیارن.,0
از لحاظ تمیزی و پاکیزگی عالی بود، برخورد پرسنل بسیار خوب، نسب به هزینه‌ای که پرداخت کردم خیلی راضی بودم، ممنون از جاباما,0
رفتا پرسنل خوب بود.,0
به هیج وجه این هتل رو پیشنهاد نمیکنم متاسفانه هتل به این زیبایى و قدیمى به دلیل عدم توانایى در سرویس دهى به مسافرین افتضاح شده,1
موقعیت قرار گیری هتل هم به حرم دور بود.,0
این هتل رو به تمامی مسافرینی که قصد اقامت طولانی در رشت رو دارند بهشون پیشنهاد میکنم چون حس خونه رو داره.,1
یکم با هتل ۴ ستاره فاصله داره (فضاش و صبحانه و …).,0
من خیلی اقامت توی این هتل رو دوست داشتم، تنها کمبود اتاق‌ها به نظرم نبود ساعت دیواری هستش، فضای خیلی آرامش بخشی داره.,0
کارکنانی بسیار مودب و وظیفه شناس داره، تحویل دهی و تحویل گیری اتاق را خیلی سریع بدون معطلی انجام می‌دهند، اتاقها تمیز و مرتبه ولی سرویس‌های بهداشتی آن نیاز به بازسازی دارد، رستوران و فست فودش خیلی خوبه، محلفه و روبالشی و پتو و مسواک و …به تعداد کافی در اتاقها هست، بعضی وقتها هم جشن عروسی توی تالارش برقراره که فضا رو شاد می‌کنه.,1
و ممنونم از سایت جاباما بخاطر تخفیفایی که گذاشتن,0
در رابطه با استخر که من طبق تجربه هایی که در طول سفرهای دیگر داشتم که استخر هم مثل صبحانه روی اتاق حساب میشه در اینجا این طورنبود و استخر در سانس ازاد ۴۰ هزار تومان بود که شما با تخفیف ۲۰درصدی میتونستید از ان استفاده کنید.,1
در کل قابل قبول بود,0
پارکینک اون اشغالدونی بود.,0
فضای لابی و استخر هتل به شکل خوبی طراحی شده بود.,0
هتل خوب ولی بدون پارکینگ مناسب,0
ناهار را اصلا توصیه نمیکنم.,1
اقامت در این هتل خالی از لطف نیست.,0
قیمت هتل نسبت به امکانات و موقعیت مکانی بسیار بالا بود.,0
و نسبت به هزینه‌ای که پرداخت کردیم کاملا راضی بودیم.,0
اقامتی خاطره انگیز در فضای سنتی و هنری اگر تخفیف‌های فصل‌های خلوت رو بیشتر کنند عالی میشه,1
برخی از متصدیان پذیرش که اقا بودند حد عالی برخورد رو‌ نداشتند متاسفانه که احتمالا همین باعث بشه خودم مجدد اقامت تو این هتل رو انتخاب نکنم ولی قطعا به خاطر مزایای بسیار بالا، پیشنهاد بنده به دیگران خواهد بود.,1
صبحانه هتل در حد هتل ۳ ستاره هست ولی جای بهتر شدن دارد.,1
همه چیز خوب بود ولی ای کاش در هر اتاق سرویس چای ساز هم قرار بدهند,1
رفتاری مودبانه و مناسب داشتند.,0
در کل آدم چون زیاد تو هتل نمیمونه و بیشتر تایمش بیرونه به نظرم این هتل برای تایم هایی هم که هستیم پاسخگوی تمام نیازها هست.,0
صبحانه ش از لحاظ تنوعی پایینه و اگر همون اول ساعت برید ممکنه یه چیزی داشته باشه برای خوردن ولی اگر یکم دیرتر برید همه چی تموم میشه و دیگه ممکنه شارژ هم نکنه!!!,1
و تشکهای راحتی هم داشت.,0
تنها بدی هتل دیوار‌های نازکش است که صدای تلویزیون بقیه شنیده می‌شد گاها.,0
برخورد پذیرش هتل حرفه‌ای نبود.,0
در صورتی که با قیمت مشکلی نداشته باشید هتل اسپیناس پالاس و پارسیان آزادی گزینه‌های بهتری هستند.,1
خاطره خوشی براتون میشه.,0
ایکاش نظارتی وجودداشت.,0
اقامت خوب و آرامی در این هتل داشتیم و کاملا راضی هستم.,0
کادر مودب و مهربونی داره و خدماتش هم بی عیب و نقص ما که واقعا لذت بردیم دست آقای راهب هم درد نکنه هم بخاطر ایجاد یه همچین مکانهایی هم بخاطر انتخاب چنین کادری.,0
برخورد کارکنان و مسئولین پذیرش خیلی خوب بود.,0
رفتار پرسنل دوستانه و محترمانه بود.,0
من تا جاییکه بتوانم به همه سفارش می‌کنم که حتی اگر با التماس این هتل به شما اطاق مجانی هم داد لطفا صرف نظر کنید.,1
اگر مهمون لاکچری دارید انتخاب خوبی هست.,1
با وجود اینکه لیبل عدم ورود و نظافت را رو درب گذاشته بودم و مشغول استراحت بودم درب را باز کردند و آمدند داخل.,0
نکته‌ای که در مورد هتل هایی نظیر این هتل وجود داره اینه که تقریبا حداقل‌ها رو داره.,0
به اندازه قیمتش خیلی خوب بود.,0
راضی بودیم، برخورد مناسب، خنک و تهویه خوب، آروم و بی صدا,0
از لحاظ امکانات و وسایل هیچ مشکلی نبود فقط حوله در حمام نبود که فکر میکنم بخاطر اینکه هتل نبود در حمام گذاشته نشده بودولی اگه باشه فکر کنم خیلی بهتر میشه.,0
و جالب اینه که اعلام کردن نیرو برای نظافت اتاق‌ها فقط تا ظهر در هتل حضور دارن و باید تا روز بعد منتظر باشید تا بیان نظافت کنند.,1
با توجه به شرایط کرونا انتظار می‌رود هتل بیشتر از این به نظافت توجه نماید.,1
فقط تنها نقط قوت و خوب هتل یه کم تمیزی تخت و سرویس بهداشتی حمام بود وگرنه مابقی چیزها ضعیف.,0
سلام ما ۳ شب تو اتاق امپریال عرب طبقه ۱۴ اقامت داشتیم یک سری خوبیها داره هتل که نظیر دیزاین اتاق و دید به شهر و حرم غذای خوبش جزء مزیت هاش به حساب میاد.,0
ویژگی برتر این هتل قرار داشتن در محیطی آرام و به دور از سر و صدای معمول شهری است و برای دوستانی که به دنبال آرامش و سکوت نسبی در محل اقامت هستند، عالی است.,1
به همه هم توصیه میکنم,1
اقامت برای یک شب را پیشنهاد میدم.,1
هتل عالی بود محل هتل عالی هر چند از مرکز شهر کمی دور است دسترسی هتل به پارک ایل گلی بسته است و باید مسافت بیشتری جهت دستیابی به ان طی نمود.,1
استخر در حد هتل نبود.,0
تلوزیون کار نمیکرد …تلفن هم قطع بود ….,0
هتل بسیار تمیز و عالی بود بنایی تاریخی که به زیبایی مرمت شده و اقامت در آن بسیار لذت بخش بود، کادر هتل بسیار خوب خروج ما از هتل ساعت ٥:٣٠ صبح بود و اون تایم شامل صبحانه نمیشد ولی کارکنان هتل برای ما صبحانه حاضر کردند که این مورد واقعا خوشحالمون کرد که انقدر مهمان نواز و با مسئولیت بودند.,0
نزدیک بودن به فرودگاه و ایستگاه راه آهن کیفیت نه چندان مناسب اتاقها صبحانه و سالن غذاخوری اصلا مناسب نیست عدم دسترسی به رستوران و بانک,0
من پیشنهاد نمیکنم کسی اونجا بمونه.,1
کارمندان خدماتی هتل برخورد مودبانه داشتند اما امکانات هتل متناسب با قیمت آن نبود.,0
این امر در اتاقهای دو نفره که لاندری بالای آنها هست خیلی شدیدتر هست لذا از کسانی که میخواهند دو نفره بروند شدیدا توضیه میکنم اتاق دو نفره نگیرن.,1
ویک نکته منفی اینکه در بدو ورود به پذیرش، کلید اتاق را به شما داده و خودتان باید چمدانها را تا اتاق حمل کنید که این موضوع برازنده نیست.,1
همه کادر عالی بودن,0
با سلام بسیار هتل شیک مجلل کارکنان باتجربه و سرویس دهی عالی,0
از اسنپ تریپ این هتل رو گرفتم و خیلی راضی بودم.,0
البته به نسبت هزینه‌ای که اخذ شد.,0
بنده دیدم کارکنان با کفش وارد اتاق میشوند پس اگر عادت دارید بدون کفش تو اتاق راه بروید حتما از دمپایی استفاده کنید.,1
ولی با توجه به هزینه اسنپ و محیط معالی آباد، این هتل را پیشنهاد میکنم.,1
اقامتگاه عملا نوساز یا تازه بازسازی شده است و وقتی داخلش هستید با هیچ نما یا تصویر آزاردهنده‌ای مواجه نمی‌شوید.,1
برای مسافرانی که برای زیارت تشریف می‌برند، مناسب از لحاظ قیمت، نزدیکی به حرم، امکانات و ….,1
من خیلی راضی بودم البته از پشتیبانی جاباما هم تشکر میکنم که این هتل رو پیشنهاد کردن.,1
مشکل بعدی این هتل اینه که اتاق‌ها تلفن ندارن و شما برای هر مشکلی باید خودتون برین پایین و درخواستتون رو به رسپشن بگین.,1
اتاق ما سوییت بود همه چی خوب بود بجز نور اتاق که خیلی کم بود و لابی که اصلا در حد یه هتل ۴ستاره نیس,0
ولی تمیز و مرتب، پیشنهاد من اقامت در قسمت جدید هتل هست.,1
خیلی جا داره تا به یک هتل پنج ستاره تبدیل بشه.,1
کاشکی رسیدگی بشه و درشو تخته کنن …,1
در کل هتل خوبیه ولی وعده غذایی گرونی داشت …,0
اتاقها مثل سایر هتل‌ها هر روز تمیز نمیشد و حتما باید از خانه داری میخواستم تا اتاق رو مرتب کنند.,1
البته قیمت می‌تونه یکم پایین‌تر هم باشه.,1
نکته مثبت نزدیکی به مکان مد نظر ما بود.,0
نهار هم کوبیده سفارش دادم که بسیار لذیذ بود.,0
دلایل: تشک بسیار سفت، سرویس بهداشتی قدیمی و کثیف، وجود حشره، مبل نامناسب، در کل در حد هتل ۳ ستاره و نیاز به بازسازی کامل دارد.,1
همه چی به غیر از ظاهر بیرونش قدیمی و داغون.,0
هتل هما یک هتل خوبیه و نوسازه ولی هتل هما دو اتاقها بشدت قدیمی و دکور جالبی ندارن,0
بسیار خوب حیف که در کافی شاپ سیگارمی کشیدن که آزار دهنده است,1
رفتار پرسنل مودبانه است ‌‌‌‌؛ مکان هتل خوبه، البته اگر شلوغی محل براتون مهم نباشه.,1
در کل هتل نسبتا خیلی خوب بود,0
منوی صبحانه تکراری بود و از تنوع کمی برخوردار بود.,0
کارکنان بسیار مؤ دب و خوش برخورد بودند، متأسفانه یکی از اتاق‌ها نیاز به سم پاشی داشت.,1
در کل اگر میخواهید اقامت خوبی داشته باشید تا جای ممکن از این هتل دوری کنید.,1
به محض ورود به هتل بما گفتند که اتاق دبل موجود نیست و میبایست از تویین استفاده کنین، فضای اتاق کوچک و کم نور، تمیزی اتاق و سرویس‌ها متوسط، سرویس دهی برای اتاق من جمله <کافی شاپ> در حد یک مسافرخانه‌ی خیلی معمولی، صبحانه رایگان، منوی بوفه در نهار و شام به قیمت غذا اضافه میشود، برخورد پرسنل در حد هتل، نزدیکی هتل به مرکز شهر و ترمینال و فضای تاریخی شهر ….,1
البته یک نیرو آقای بسیار خوب مسن برای شیفت شب پذیرش وجود دارد ولی به نیروی آقا در طول روز نیاز است.,1
اگر دارید این متن رو الان میخونید و برنامه دارید تو شیراز هتل بگیرید پیشنهاد میکنم همین الان رزرو کنید شک نکنید از اقامت تو هتل لذت میبرید.,1
افسوس که هر کسی بدون دیدن حداقل کارآموزی و دانش هتل داری باید دست به چنین کاری بزند و مهمانهای هتل که ولی نعمت این صنف هستند را بیخود برجاند که باعث یک امتیاز منفی برای هتل شود.,1
بوی نا مطبوع سرویس بهداشتی.,0
رستوران فست فودش هم خوبه البته عالی نیست و اونم متوسطه در حدی که فقط راضی باشین البته ویو شهر رو به زیبایی داره، رستوران ایتالیایی عالی بود و قطعا اگر اهل استیک باشید کاملا راضی خواهید بود و علی رغم غذاهای عالی که ارائه میده قیمت مناسبش هم سورپرایزتون میکنه و صد در صد اگر روزی دوباره به این هتل سر بزنید رستوران ایتالیایی ش رو دوباره امتحان خواهید کرد.,1
تر و تمیز، محیط بسیار خوب توقع هتل خیلى خفن نباید داشته باشى,1
اصلن توصیه نمی‌شود.,1
محیط آرام و سرسبزی داشت.,0
کارکنان خوب و مهربان و مودبی دارد.,0
ملحفه اتاق تمیز نبود که به مدیریت گزارش هم دادم بقیه موارد خوب بود.,0
غذای هتل هم استفاده نکردیم.,0
رفتار کارکنان بسیار مودبانه، محترمانه و مهربانانه بود.,0
نسبت به ۳ ستاره بودنش هتل خوبی هست,0
فقط میتونم بگم همه چیز عالی بود.,0
برخورد کارکنان و پذیرش خیلی خوب و محترمانه بود.,0
از آن جا که هتل محوطه و ساحل و فضای زیبایی دارد بازسازی هرچه سریعتر اتاق‌ها و افزایش کیفیت صبحانه می‌تواند این هتل را با توجه به موقعیت مکانی ایده آل آن تبدیل به یکی از بهترین‌های منطقه کند.,1
برخورد پرسنل هتل بسیار حرفه‌ای بود پذیرش‌گر‌های خوش رو و دلسوز - فاصله نزدیک به بازار‌ها و محیطی ارام و مرتب.,0
کیفیت سرویس دهی شون عالیه، چیزی که همیشه ازشون توو ذهنم میمونه سلف صبحونه‌ی کاملشونه!,0
به هیچ عنوان پیشنهاد نمیکنم,1
من بهمراه خانواده، ۴ شب در این هتل اقامت داشتیم (در سوییت ۴ نفره).,0
تعداد نیروهای هتل زیاد نبود و تو مواقعی که هتل شلوغ باشه ممکنه سرویس دهی بامشکل روبه رو بشه.,1
امکانات معمولی بود ولی هتل ساکت و آرومی بود و آرامش داشتم در هتل.,0
هتلی خوب نزدیک به پارک ایگولی و مراکز دیدنی شهر قشنگ تبریز این هتل خیلی تمیز بود رفتار کارکنان بامهمانان خوب بود قابل قبول بود,0
چهارم: ورود و خروج افراد عادی که از در خروجی رستوران وارد میشوند کنترل کامل شود (شاید میشود در حال حاضر) صرفا پیشنهاد است.,1
۳_ کافی شاپ هتل و فست فود هتل کیفیتش عالی ولی یه ایرادی هست که تو منو نوشتند مهمانان هتل از ۱۵درصد تخفیف برخوردارند در حالی که این تخفیف اعمال نمیشه تازه ۱۵درصد هم بابت سرویس اضافه میکنند از مدیر داخلی هتل انتظار میرود که این موضوعات را بررسی کنند.,1
برای من که برای سفر کاری رفته بودم فضای مناسبی برای استراحت نبود ولی در کل قیمتش خوب بود.,0
در کل خوب بود و میتونم به دیگران این هتل را پیشنهاد بدهم,1
هتل کاروانسرا مشیر هتلی زیبا و آرام,0
یعنی دوباره مجبور بشم یه شب قم واستم تو پارک چادر میزنم ولی این جا نمیرم حتی اگه رایگان باشه.,1
در مجموع هتلی است که میتوانم اقامت در آن را توصیه کنم.,1
همه کارکنان و مدیریت هتل در صدد این هستند که اقامت خوبى را براى مسافرانشان فراهم کنند.,1
کیفیت غذا و نظافت خوب نبود,0
هتل فهادان، هتلى بسیار خوب بود خصوصا رفتار پرسنل بسیار عالى بود، از لحاظ نظافت و تمیزى کاملا به اتاق‌ها رسیدگى میشد، با توجه به فضاى سنتى و خاص مجموعه، نمیتوان انتظار هتل هاى لاکچرى ٤ یا ٥ ستاره رو داشت، در مقایسه با نوع سنتى هتل بسیار عالى بود، و سفر عالى و رویایى را تجربه کردیم، این هتل رو براى کسانى که به فضاهاى سنتى علاقه دارن پیشنهاد میکنم، اما اگر بدنبال یک هتل ٤ ستاره هستن که کلیه امکانات رو داشته باشن اصلا نباید سراغ هتل هاى سنتى بروند.,1
هتلی بی نظیر که از هر نظر سفر شما به شیراز رو خاطره انگیز میکنه,0
صبحانه مناسب هتل ۴ ستاره نبود، اصلا ظرفها را پر نمیکردند، کمی بوی توالت میومد تو اتاق و صدای رستوران شبا تو اتاق زیاد بود,0
ظرف چایی که ما روز اول گذاشتیم دم در تا خدمه بردارند تا روز ۴ ام که ما اتاق رو تحویل دادیم هنوز برداشته نشده بود.,0
رستوران تنوع غذایی کم داشت,0
باز هم میگم این هتل رو به هیچ کس پیشنهاد نمیکنم.,1
با هرکدام از کارکنان روبرو شدیم با متانت پاسخگوی میهمانان خود بودند پذیرش، نظافت و پذیرایی بسیار خوب بود.,0
